[1, 50, 85, 53, 83, 93, 71, 43, 79, 1, 30, 85, 87, 84, 41, 50, 59, 3, 53, 68]
[97, 1, 45, 38, 41, 81, 89, 34, 57, 16, 49, 52, 65, 67, 20, 4, 8, 21, 18, 42]
[4, 63, 34, 81, 67, 98, 40, 79, 88, 51, 84, 56, 44, 27, 58, 13, 92, 81, 17, 97]
[68, 4, 2, 77, 34, 15, 31, 49, 14, 43, 64, 92, 63, 11, 76, 55, 95, 78, 99, 33]
[34, 43, 10, 43, 42, 47, 79, 67, 73, 78, 16, 55, 79, 59, 31, 76, 52, 29, 59, 8]
[1, 57, 34, 64, 41, 43, 14, 82, 56, 65, 61, 87, 88, 46, 95, 4, 3, 55, 20, 72]
[85, 27, 39, 92, 58, 7, 79, 23, 88, 11, 37, 41, 56, 94, 62, 81, 54, 65, 34, 16]
[76, 6, 59, 89, 76, 65, 22, 47, 3, 84, 92, 77, 43, 84, 21, 76, 27, 10, 73, 23]
[74, 41, 83, 67, 16, 45, 6, 31, 72, 65, 36, 78, 94, 26, 34, 4, 85, 69, 79, 33]
[60, 1, 50, 31, 23, 93, 77, 24, 83, 48, 33, 75, 63, 70, 37, 84, 45, 86, 35, 92]
