[189, 99, 134, 64, 122, 67, 46, 143, 76, 85, 79, 175, 13, 118, 64, 165, 1, 15, 97, 106]
[114, 121, 106, 175, 79, 55, 1, 27, 184, 22, 108, 141, 4, 122, 29, 117, 11, 127, 128, 73]
[163, 48, 98, 131, 62, 56, 173, 128, 135, 8, 39, 108, 64, 122, 24, 21, 123, 1, 169, 175]
[45, 157, 147, 149, 40, 24, 92, 11, 116, 70, 6, 121, 197, 98, 7, 163, 106, 175, 131, 136]
[150, 174, 74, 8, 135, 169, 24, 0, 120, 16, 87, 149, 195, 2, 163, 193, 179, 175, 45, 20]
[175, 143, 153, 128, 63, 54, 114, 30, 52, 28, 65, 68, 80, 31, 13, 47, 167, 74, 135, 123]
[150, 23, 73, 136, 102, 141, 92, 135, 34, 96, 122, 131, 32, 101, 127, 82, 60, 46, 166, 169]
[144, 156, 11, 135, 65, 57, 175, 150, 98, 55, 116, 15, 103, 9, 167, 62, 61, 121, 104, 195]
[153, 82, 104, 122, 48, 151, 83, 3, 46, 65, 156, 49, 176, 12, 141, 117, 53, 130, 43, 50]
[114, 32, 159, 195, 24, 119, 106, 34, 175, 122, 37, 49, 35, 187, 105, 141, 144, 131, 47, 54]
